endTime,artistName,trackName,msPlayed,genre
2024-02-10 08:27,The Neighbourhood,Sweater Weather,2560,indie
2024-02-29 04:31,Arctic Monkeys,Brianstorm,10016,indie
2024-02-29 12:21,grentperez,Cherry Wine,112917,indie
2024-03-01 21:23,grentperez,Cherry Wine,60377,indie
2024-03-01 21:44,Aimer,Sailing,9570,anime
2024-03-01 21:44,Queen,Good Old-Fashioned Lover Boy - Remastered 2011,1230,classic rock
2024-03-01 21:44,Conan Gray,Heather,22970,seen live
2024-03-01 21:48,Chase Atlantic,Right Here,231625,rnb
2024-03-01 21:52,Arctic Monkeys,505,253586,indie
2024-03-01 21:56,Cults,Always Forever,223746,indie pop
2024-03-01 22:01,Arctic Monkeys,Do I Wanna Know?,272394,indie
2024-03-01 22:05,Chase Atlantic,Moonlight,252000,rnb
2024-03-01 22:10,The Neighbourhood,The Beach,255133,indie
2024-03-02 01:20,d4vd,Romantic Homicide,132630,rnb
2024-03-02 01:32,The Neighbourhood,Cry Baby,235160,indie
2024-03-02 02:14,Arctic Monkeys,Stop The World I Wanna Get Off With You,36026,indie
2024-03-02 02:18,Chase Atlantic,The Walls,229840,rnb
2024-03-02 03:58,The Neighbourhood,Sadderdaze,186960,indie
2024-03-02 06:17,Chase Atlantic,Right Here,235000,rnb
2024-03-02 06:21,Chase Atlantic,Meddle About,203886,rnb
2024-03-02 06:24,Beach Weather,"Sex, Drugs, Etc.",196784,indie
2024-03-02 06:29,Chase Atlantic,LUST,204106,rnb
2024-03-02 06:33,Cigarettes After Sex,Each Time You Fall in Love,290630,dream pop
2024-03-02 06:38,Cults,Always Forever,223746,indie pop
2024-03-02 06:41,Arctic Monkeys,Arabella,207356,indie
2024-03-02 06:46,Chase Atlantic,The Walls,229840,rnb
2024-03-02 06:50,Arctic Monkeys,Snap Out Of It,193030,indie
2024-03-02 07:11,Chase Atlantic,HEAVEN AND BACK,248240,rnb
2024-03-02 07:15,Cigarettes After Sex,Truly,244110,dream pop
2024-03-02 07:22,Cigarettes After Sex,Opera House,365150,dream pop
2024-03-02 07:25,The Neighbourhood,You Get Me So High,153000,indie
2024-03-02 07:30,Cigarettes After Sex,K.,320030,dream pop
2024-03-02 07:35,The Neighbourhood,Reflections,244013,indie
2024-03-02 07:39,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,rnb
2024-03-02 08:18,Arctic Monkeys,Cornerstone,140825,indie
2024-03-02 08:26,The Neighbourhood,Prey,260300,indie
2024-03-03 00:36,The Neighbourhood,Prey,22587,indie
2024-03-03 00:41,Cigarettes After Sex,Pure,254626,dream pop
2024-03-03 05:28,The Neighbourhood,The Beach,255133,indie
2024-03-03 05:32,Cigarettes After Sex,Starry Eyes,206000,dream pop
2024-03-03 05:36,The Neighbourhood,W.D.Y.W.F.M?,259413,indie
2024-03-03 05:41,Cigarettes After Sex,Apocalypse,290616,dream pop
2024-03-03 05:46,The Neighbourhood,Daddy Issues,260173,indie
2024-03-03 05:50,Chase Atlantic,Drugs & Money - New Mix,239921,rnb
2024-03-03 05:55,The Neighbourhood,Alleyways,267853,indie
2024-03-03 06:00,Chase Atlantic,Numb to the Feeling,227586,rnb
2024-03-03 06:04,Arctic Monkeys,Knee Socks,257563,indie
2024-03-03 06:08,Chase Atlantic,Into It,196767,rnb
2024-03-03 06:12,The Neighbourhood,Sweater Weather,240400,indie
2024-03-03 06:16,Chase Atlantic,LIKE A ROCKSTAR,208111,rnb
2024-03-03 06:21,Arctic Monkeys,Do I Wanna Know?,272394,indie
2024-03-03 06:26,Chase Atlantic,Paradise,256453,rnb
2024-03-03 06:30,Chase Atlantic,Tidal Wave,243706,rnb
2024-03-03 06:34,Arctic Monkeys,She's Thunderstorms,234920,indie
2024-03-03 06:37,Arctic Monkeys,Stop The World I Wanna Get Off With You,191040,indie
2024-03-03 06:41,The Neighbourhood,Softcore,206280,indie
2024-03-03 06:45,Chase Atlantic,MAMACITA,202931,rnb
2024-03-03 06:48,Chase Atlantic,HER,169720,rnb
2024-03-03 06:53,Cigarettes After Sex,You're the Only Good Thing In My Life,275186,dream pop
2024-03-03 06:57,Arctic Monkeys,I Wanna Be Yours,183956,indie
2024-03-03 07:00,The Neighbourhood,Fallen Star,224938,indie
2024-03-03 07:01,Arctic Monkeys,R U Mine?,22150,indie
2024-03-03 07:05,The Neighbourhood,Afraid,251186,indie
2024-03-03 07:09,Chase Atlantic,OHMAMI,226835,rnb
2024-03-03 07:12,The Neighbourhood,You Get Me So High,153000,indie
2024-03-03 07:16,Chase Atlantic,Swim,228786,rnb
2024-03-03 07:19,Djo,End of Beginning,159245,psychedelic pop
2024-03-03 07:21,d4vd,Romantic Homicide,7625,rnb
2024-03-03 07:26,The Neighbourhood,Prey,282640,indie
2024-03-03 07:30,Chase Atlantic,OHMAMI,226835,rnb
2024-03-03 07:35,Cigarettes After Sex,Heavenly,286773,dream pop
2024-03-03 07:41,Cigarettes After Sex,K.,320030,dream pop
2024-03-03 07:42,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",75242,rnb
2024-03-04 05:02,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",169509,rnb
2024-03-04 05:07,Arctic Monkeys,505,253586,indie
2024-03-04 05:11,The Neighbourhood,Alleyways,267853,indie
2024-03-04 05:14,Arctic Monkeys,Baby I'm Yours,152613,indie
2024-03-04 05:18,Cigarettes After Sex,Sunsetz,215150,dream pop
2024-03-04 05:23,Cigarettes After Sex,Apocalypse,290616,dream pop
2024-03-04 05:27,Chase Atlantic,ESCORT,218823,rnb
2024-03-04 05:32,The Neighbourhood,Sadderdaze,245826,indie
2024-03-04 05:36,The Neighbourhood,Daddy Issues,260173,indie
2024-03-04 05:40,Chase Atlantic,MAMACITA,202931,rnb
2024-03-04 05:45,Cigarettes After Sex,Kiss It Off Me,269933,dream pop
2024-03-04 06:49,James Arthur,Car's Outside,248373,soft pop
2024-03-04 06:53,The Neighbourhood,Female Robbery,209520,indie
2024-03-04 06:57,Arctic Monkeys,Cornerstone,197973,indie
2024-03-04 06:59,Arctic Monkeys,Brianstorm,170253,indie
2024-03-04 07:03,The Neighbourhood,You Get Me So High,153000,indie
2024-03-04 07:07,Cigarettes After Sex,Falling In Love,245840,dream pop
2024-03-04 07:11,Chase Atlantic,Slow Down,212093,rnb
2024-03-04 07:16,Cigarettes After Sex,You're the Only Good Thing In My Life,275186,dream pop
2024-03-04 07:21,Chase Atlantic,Consume (feat. Goon Des Garcons),267920,rnb
2024-03-04 07:24,Chase Atlantic,The Walls,229840,rnb
2024-03-04 07:28,Arctic Monkeys,Snap Out Of It,193030,indie
2024-03-04 08:09,Chase Atlantic,EMPTY,230266,rnb
2024-03-04 08:13,Cigarettes After Sex,Starry Eyes,206000,dream pop
2024-03-04 08:16,Chase Atlantic,LIKE A ROCKSTAR,208111,rnb
2024-03-04 08:19,Chase Atlantic,HER,169720,rnb
2024-03-04 09:07,Cults,Always Forever,179939,indie pop
2024-03-04 21:38,The Neighbourhood,Sadderdaze,59119,indie
2024-03-04 21:44,Cigarettes After Sex,K.,320030,dream pop
2024-03-04 21:48,The Neighbourhood,Scary Love,222666,indie
2024-03-04 21:53,Cigarettes After Sex,Falling In Love,245840,dream pop
2024-03-04 21:57,The Neighbourhood,Softcore,206280,indie
2024-03-04 22:02,The Neighbourhood,Prey,282640,indie
2024-03-04 22:06,The Neighbourhood,Fallen Star,224938,indie
2024-03-04 22:09,The Neighbourhood,You Get Me So High,153000,indie
2024-03-04 22:13,Chase Atlantic,Swim,228786,rnb
2024-03-04 22:18,Cigarettes After Sex,Cry,256800,dream pop
2024-03-04 22:22,Chase Atlantic,Meddle About,203886,rnb
2024-03-04 22:27,Chase Atlantic,EMPTY,230266,rnb
2024-03-04 23:25,Cigarettes After Sex,Opera House,365150,dream pop
2024-03-04 23:29,David Kushner,Daylight,212953,indie
2024-03-04 23:33,Chase Atlantic,ESCORT,218823,rnb
2024-03-04 23:38,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,rnb
2024-03-04 23:44,Cigarettes After Sex,John Wayne,258483,dream pop
2024-03-04 23:51,Chase Atlantic,Paradise,256453,rnb
