datetime,temp,precip,windspeed,cloudcover,icon,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain,icon_snow
2024-03-01,4.2,8.078,19.3,94.3,snow,False,False,False,False,True
2024-03-02,4.4,1.874,15.9,90.5,snow,False,False,False,False,True
2024-03-03,3.8,8.541,15.6,98.1,snow,False,False,False,False,True
2024-03-04,2.9,0.469,11.1,66.8,snow,False,False,False,False,True
2024-03-05,2.3,0.0,8.7,32.8,partly-cloudy-day,False,False,True,False,False
2024-03-06,2.8,0.038,8.4,72.2,rain,False,False,False,True,False
2024-03-07,3.8,0.0,7.5,68.2,partly-cloudy-day,False,False,True,False,False
2024-03-08,5.4,2.87,14.5,99.9,snow,False,False,False,False,True
2024-03-09,7.9,1.314,24.0,98.8,rain,False,False,False,True,False
2024-03-10,7.8,2.735,22.1,97.9,rain,False,False,False,True,False
2024-03-11,6.6,9.763,19.8,93.0,rain,False,False,False,True,False
2024-03-12,7.9,4.181,13.4,66.8,rain,False,False,False,True,False
2024-03-13,7.0,0.024,9.3,73.7,rain,False,False,False,True,False
2024-03-14,6.6,0.0,10.2,60.7,partly-cloudy-day,False,False,True,False,False
2024-03-15,7.6,0.0,11.3,59.8,partly-cloudy-day,False,False,True,False,False
2024-03-16,10.4,0.0,8.1,12.0,clear-day,True,False,False,False,False
2024-03-17,11.6,0.0,7.9,8.5,clear-day,True,False,False,False,False
2024-03-18,9.6,0.0,13.0,12.6,clear-day,True,False,False,False,False
2024-03-19,9.3,0.0,11.3,20.1,partly-cloudy-day,False,False,True,False,False
2024-03-20,9.0,0.08,12.7,87.9,rain,False,False,False,True,False
2024-03-21,9.7,0.0,8.4,88.8,partly-cloudy-day,False,False,True,False,False
2024-03-22,9.5,1.53,11.1,99.9,rain,False,False,False,True,False
2024-03-23,8.7,3.48,11.9,98.7,rain,False,False,False,True,False
2024-03-24,8.5,0.064,9.4,28.0,rain,False,False,False,True,False
2024-03-25,8.7,5.334,12.1,91.8,rain,False,False,False,True,False
2024-03-26,8.1,2.744,8.9,70.8,rain,False,False,False,True,False
2024-03-27,7.1,9.454,14.3,95.5,rain,False,False,False,True,False
2024-03-28,7.3,5.642,13.8,98.1,rain,False,False,False,True,False
2024-03-29,8.1,4.069,7.8,60.2,rain,False,False,False,True,False
2024-03-30,7.2,0.224,6.3,50.9,rain,False,False,False,True,False
2024-03-31,8.2,0.0,5.7,44.8,partly-cloudy-day,False,False,True,False,False
2024-04-01,11.1,0.0,13.6,71.7,partly-cloudy-day,False,False,True,False,False
2024-04-02,11.2,3.738,17.9,92.0,rain,False,False,False,True,False
2024-04-03,7.5,0.229,13.4,68.2,rain,False,False,False,True,False
2024-04-04,8.2,0.02,22.9,94.9,rain,False,False,False,True,False
2024-04-05,9.4,0.0,12.8,48.5,partly-cloudy-day,False,False,True,False,False
2024-04-06,8.9,2.936,11.2,79.7,rain,False,False,False,True,False
2024-04-07,8.7,0.469,13.3,93.2,rain,False,False,False,True,False
2024-04-08,7.1,19.285,18.1,100.0,rain,False,False,False,True,False
2024-04-09,9.5,0.056,13.1,31.7,rain,False,False,False,True,False
2024-04-10,9.3,0.0,8.2,67.4,partly-cloudy-day,False,False,True,False,False
2024-04-11,8.6,4.422,11.2,99.9,rain,False,False,False,True,False
2024-04-12,9.0,0.498,19.0,60.6,rain,False,False,False,True,False
2024-04-13,9.4,0.01,17.5,23.1,rain,False,False,False,True,False
2024-04-14,10.0,0.0,11.0,60.0,partly-cloudy-day,False,False,True,False,False
2024-04-15,9.1,0.22,18.8,89.6,rain,False,False,False,True,False
2024-04-16,8.2,0.04,34.1,29.7,rain,False,False,False,True,False
2024-04-17,8.1,0.0,14.5,13.6,clear-day,True,False,False,False,False
2024-04-18,9.4,0.0,25.7,7.4,clear-day,True,False,False,False,False
2024-04-19,10.9,0.012,11.1,0.2,rain,False,False,False,True,False
2024-04-20,11.9,2.4,25.6,38.6,rain,False,False,False,True,False
2024-04-21,10.3,0.004,12.3,38.5,rain,False,False,False,True,False
2024-04-22,10.0,0.079,13.8,36.9,rain,False,False,False,True,False
2024-04-23,12.2,0.0,9.5,78.3,partly-cloudy-day,False,False,True,False,False
2024-04-24,10.1,1.844,15.0,96.1,rain,False,False,False,True,False
2024-04-25,9.3,19.184,12.7,99.2,rain,False,False,False,True,False
2024-04-26,10.9,7.998,9.7,83.5,rain,False,False,False,True,False
2024-04-27,9.9,10.086,12.5,95.8,rain,False,False,False,True,False
2024-04-28,9.6,2.198,12.9,88.9,rain,False,False,False,True,False
2024-04-29,9.2,0.413,10.9,66.8,rain,False,False,False,True,False
2024-04-30,9.1,0.081,21.9,56.7,rain,False,False,False,True,False
2024-05-01,9.6,0.236,14.6,35.2,rain,False,False,False,True,False
2024-05-02,11.1,0.0,12.7,8.6,clear-day,True,False,False,False,False
2024-05-03,14.2,0.079,10.3,69.1,rain,False,False,False,True,False
2024-05-04,14.7,0.0,18.3,98.3,cloudy,False,True,False,False,False
2024-05-05,11.6,6.332,13.0,93.0,rain,False,False,False,True,False
2024-05-06,11.3,1.818,16.6,55.5,rain,False,False,False,True,False
2024-05-07,11.0,0.027,19.5,30.2,rain,False,False,False,True,False
2024-05-08,11.5,0.106,9.3,31.8,rain,False,False,False,True,False
2024-05-09,14.4,0.0,14.8,17.5,clear-day,True,False,False,False,False
2024-05-10,16.3,0.0,10.9,21.3,partly-cloudy-day,False,False,True,False,False
2024-05-11,16.2,0.0,12.0,24.9,partly-cloudy-day,False,False,True,False,False
2024-05-12,15.1,0.0,13.7,29.8,partly-cloudy-day,False,False,True,False,False
2024-05-13,14.7,0.0,13.3,60.8,partly-cloudy-day,False,False,True,False,False
2024-05-14,13.9,0.0,13.8,75.0,partly-cloudy-day,False,False,True,False,False
2024-05-15,15.6,0.0,8.5,84.2,partly-cloudy-day,False,False,True,False,False
2024-05-16,14.4,0.574,24.0,69.2,rain,False,False,False,True,False
2024-05-17,12.7,0.564,26.6,47.6,rain,False,False,False,True,False
2024-05-18,10.8,6.86,12.2,63.2,rain,False,False,False,True,False
2024-05-19,12.3,0.761,11.6,40.9,rain,False,False,False,True,False
2024-05-20,13.2,0.079,10.2,45.9,rain,False,False,False,True,False
2024-05-21,10.9,36.336,28.1,99.2,rain,False,False,False,True,False
2024-05-22,11.9,0.106,21.3,57.8,rain,False,False,False,True,False
2024-05-23,13.3,0.0,14.4,45.3,partly-cloudy-day,False,False,True,False,False
2024-05-24,11.5,3.65,11.0,96.8,rain,False,False,False,True,False
2024-05-25,11.9,4.047,19.1,92.3,rain,False,False,False,True,False
2024-05-26,10.7,19.746,14.3,99.8,rain,False,False,False,True,False
2024-05-27,12.9,0.0,10.5,96.9,cloudy,False,True,False,False,False
2024-05-28,12.4,12.715,13.9,81.5,rain,False,False,False,True,False
2024-05-29,11.7,0.519,12.2,47.3,rain,False,False,False,True,False
2024-05-30,12.7,0.0,9.2,46.8,partly-cloudy-day,False,False,True,False,False
2024-05-31,13.7,0.079,8.9,65.3,rain,False,False,False,True,False
2024-06-01,13.7,1.279,9.7,96.6,rain,False,False,False,True,False
2024-06-02,12.7,22.348,14.2,99.4,rain,False,False,False,True,False
2024-06-03,13.2,11.259,15.3,86.0,rain,False,False,False,True,False
2024-06-04,13.0,9.048,17.2,65.5,rain,False,False,False,True,False
2024-06-05,13.5,0.0,11.1,45.1,partly-cloudy-day,False,False,True,False,False
2024-06-06,14.4,0.0,13.3,47.6,partly-cloudy-day,False,False,True,False,False
2024-06-07,16.1,0.0,16.5,17.2,clear-day,True,False,False,False,False
2024-06-08,18.0,0.0,8.7,54.3,partly-cloudy-day,False,False,True,False,False
2024-06-09,18.0,0.0,12.3,41.8,partly-cloudy-day,False,False,True,False,False
2024-06-10,15.7,0.236,14.5,57.4,rain,False,False,False,True,False
2024-06-11,15.2,1.376,19.0,61.9,rain,False,False,False,True,False
2024-06-12,14.2,0.14,11.6,39.3,rain,False,False,False,True,False
2024-06-13,15.5,0.0,8.7,30.1,partly-cloudy-day,False,False,True,False,False
2024-06-14,13.7,1.187,13.8,56.4,rain,False,False,False,True,False
2024-06-15,13.2,0.1,11.6,75.3,rain,False,False,False,True,False
2024-06-16,11.9,3.077,11.8,97.0,rain,False,False,False,True,False
2024-06-17,13.6,0.079,8.5,92.9,rain,False,False,False,True,False
2024-06-18,15.1,0.0,10.9,58.3,partly-cloudy-day,False,False,True,False,False
2024-06-19,16.8,0.0,8.9,12.3,clear-day,True,False,False,False,False
2024-06-20,18.6,0.0,11.0,18.3,clear-day,True,False,False,False,False
2024-06-21,20.3,0.0,8.5,51.7,partly-cloudy-day,False,False,True,False,False
2024-06-22,18.1,0.5,13.8,69.6,rain,False,False,False,True,False
2024-06-23,16.1,0.0,13.8,66.3,partly-cloudy-day,False,False,True,False,False
2024-06-24,15.8,0.0,16.6,37.5,partly-cloudy-day,False,False,True,False,False
2024-06-25,17.0,0.0,22.1,21.8,partly-cloudy-day,False,False,True,False,False
2024-06-26,15.5,1.622,11.0,83.8,rain,False,False,False,True,False
2024-06-27,14.1,9.705,8.7,99.5,rain,False,False,False,True,False
2024-06-28,15.5,1.328,10.3,86.9,rain,False,False,False,True,False
2024-06-29,17.2,0.336,7.8,94.0,rain,False,False,False,True,False
2024-06-30,18.5,0.016,11.6,67.3,rain,False,False,False,True,False
2024-07-01,18.6,0.24,10.3,49.9,rain,False,False,False,True,False
2024-07-02,17.5,0.0,12.4,45.4,partly-cloudy-day,False,False,True,False,False
2024-07-03,17.3,0.0,10.0,32.3,partly-cloudy-day,False,False,True,False,False
2024-07-04,18.5,0.0,10.9,4.9,clear-day,True,False,False,False,False
2024-07-05,20.0,0.0,19.6,6.7,clear-day,True,False,False,False,False
2024-07-06,20.0,0.0,16.8,1.6,clear-day,True,False,False,False,False
2024-07-07,21.8,0.0,8.3,0.0,clear-day,True,False,False,False,False
2024-07-08,21.9,0.0,8.4,21.1,partly-cloudy-day,False,False,True,False,False
2024-07-09,23.3,0.0,7.4,2.9,clear-day,True,False,False,False,False
2024-07-10,22.1,0.0,9.8,5.0,clear-day,True,False,False,False,False
2024-07-11,19.2,0.0,28.4,5.6,clear-day,True,False,False,False,False
2024-07-12,19.7,0.0,13.0,9.4,clear-day,True,False,False,False,False
2024-07-13,19.9,0.0,14.5,13.2,clear-day,True,False,False,False,False
2024-07-14,20.6,0.0,13.5,0.0,clear-day,True,False,False,False,False
2024-07-15,20.1,0.0,11.4,13.2,clear-day,True,False,False,False,False
2024-07-16,21.2,0.0,8.3,8.4,clear-day,True,False,False,False,False
2024-07-17,23.2,0.0,9.7,22.7,partly-cloudy-day,False,False,True,False,False
2024-07-18,22.4,0.0,14.2,20.8,partly-cloudy-day,False,False,True,False,False
2024-07-19,22.1,0.158,12.2,25.4,rain,False,False,False,True,False
2024-07-20,21.7,0.0,8.3,16.6,clear-day,True,False,False,False,False
2024-07-21,20.2,0.0,13.0,42.3,partly-cloudy-day,False,False,True,False,False
2024-07-22,18.1,0.079,15.0,70.1,rain,False,False,False,True,False
2024-07-23,17.7,0.158,12.7,43.5,rain,False,False,False,True,False
2024-07-24,18.3,0.0,13.0,47.8,partly-cloudy-day,False,False,True,False,False
2024-07-25,18.2,0.083,15.7,44.8,rain,False,False,False,True,False
2024-07-26,18.0,0.0,8.9,46.6,partly-cloudy-day,False,False,True,False,False
2024-07-27,18.8,0.0,8.9,54.5,partly-cloudy-day,False,False,True,False,False
2024-07-28,18.6,0.0,13.3,65.3,partly-cloudy-day,False,False,True,False,False
2024-07-29,16.5,22.157,10.6,99.5,rain,False,False,False,True,False
2024-07-30,17.7,0.809,9.5,90.3,rain,False,False,False,True,False
2024-07-31,19.3,1.683,7.9,69.5,rain,False,False,False,True,False
2024-08-01,20.5,0.0,11.1,23.1,partly-cloudy-day,False,False,True,False,False
2024-08-02,21.6,0.0,7.5,48.8,partly-cloudy-day,False,False,True,False,False
2024-08-03,21.1,0.0,11.0,19.8,clear-day,True,False,False,False,False
2024-08-04,21.2,0.0,9.9,20.2,partly-cloudy-day,False,False,True,False,False
2024-08-05,21.0,0.0,8.7,13.1,clear-day,True,False,False,False,False
2024-08-06,18.5,0.0,10.1,29.2,partly-cloudy-day,False,False,True,False,False
2024-08-07,19.1,0.0,8.7,24.6,partly-cloudy-day,False,False,True,False,False
2024-08-08,20.8,0.0,7.9,25.7,partly-cloudy-day,False,False,True,False,False
2024-08-09,22.0,0.0,8.9,28.9,partly-cloudy-day,False,False,True,False,False
2024-08-10,21.2,0.0,10.6,26.3,partly-cloudy-day,False,False,True,False,False
2024-08-11,19.6,0.049,13.0,52.4,rain,False,False,False,True,False
2024-08-12,17.5,0.0,10.4,86.0,partly-cloudy-day,False,False,True,False,False
2024-08-13,18.5,0.0,9.7,94.3,cloudy,False,True,False,False,False
2024-08-14,19.4,0.0,7.9,45.5,partly-cloudy-day,False,False,True,False,False
2024-08-15,20.1,0.0,10.8,23.4,partly-cloudy-day,False,False,True,False,False
